Ca2+	15.634800	-0.007400	7.951800	0.608900	8.437200	10.311600	0.853700	25.9905	-14.875
Sc	9.189000	9.021300	7.367900	0.572900	1.640900	136.108000	1.468000	51.3531	1.3329
Sc3+	13.400800	0.298540	8.027300	7.962900	1.659430	-0.286040	1.579360	16.0662	-6.6667
Ti	9.759500	7.850800	7.355800	0.500000	1.699100	35.633800	1.902100	116.105	1.2807
Ti2+	9.114230	7.524300	7.621740	0.457585	2.279300	19.536100	0.087899	61.6558	0.897155
Ti3+	17.734400	0.220610	8.738160	7.047160	5.256910	-0.157620	1.921340	15.9768	-14.652
Ti4+	19.511400	0.178847	8.234730	6.670180	2.013410	-0.292630	1.520800	12.9464	-13.28
V	10.297100	6.865700	7.351100	0.438500	2.070300	26.893800	2.057100	102.478	1.2199
V2+	10.106000	6.881800	7.354100	0.440900	2.288400	20.300400	0.022300	115.122	1.2298
V3+	9.431410	6.395350	7.741900	0.383349	2.153430	15.190800	0.016865	63.969	0.656565
V5+	15.688700	0.679003	8.142080	5.401350	2.030810	9.972780	-9.576000	0.940464	1.7143
Cr	10.640600	6.103800	7.353700	0.392000	3.324000	20.262600	1.492200	98.7399	1.1832
Cr2+	9.540340	5.660780	7.750900	0.344261	3.582740	13.307500	0.509107	32.4224	0.616898
Cr3+	9.680900	5.594630	7.811360	0.334393	2.876030	12.828800	0.113575	32.8761	0.518275
Mn	11.281900	5.340900	7.357300	0.343200	3.019300	17.867400	2.244100	83.7543	1.0896
Mn2+	10.806100	5.279600	7.362000	0.343500	3.526800	14.343000	0.218400	41.3235	1.0874
Mn3+	9.845210	4.917970	7.871940	0.294393	3.565310	10.817100	0.323613	24.1281	0.393974
Mn4+	9.962530	4.848500	7.970570	0.283303	2.760670	10.485200	0.054447	27.573	0.251877
Fe	11.769500	4.761100	7.357300	0.307200	3.522200	15.353500	2.304500	76.8805	1.0369
Fe2+	11.042400	4.653800	7.374000	0.305300	4.134600	12.054600	0.439900	31.2809	1.0097
Fe3+	11.176400	4.614700	7.386300	0.300500	3.394800	11.672900	0.072400	38.5566	0.9707
Co	12.284100	4.279100	7.340900	0.278400	4.003400	13.535900	2.348800	71.1692	1.0118
Co2+	11.229600	4.123100	7.388300	0.272600	4.739300	10.244300	0.710800	25.6466	0.9324
Co3+	10.338000	3.909690	7.881730	0.238668	4.767950	8.355830	0.725591	18.3491	0.286667
Ni	12.837600	3.878500	7.292000	0.256500	4.443800	12.176300	2.380000	66.3421	1.0341
Ni2+	11.416600	3.676600	7.400500	0.244900	5.344200	8.873000	0.977300	22.1626	0.8614
Ni3+	10.780600	3.547700	7.758680	0.223140	5.227460	7.644680	0.847114	16.9673	0.386044
Cu	13.338000	3.582800	7.167600	0.247000	5.615800	11.396600	1.673500	64.8126	1.191
Cu1+	11.947500	3.366900	7.357300	0.227400	6.245500	8.662500	1.557800	25.8487	0.89
Cu2+	11.816800	3.374840	7.111810	0.244078	5.781350	7.987600	1.145230	19.897	1.14431
Zn	14.074300	3.265500	7.031800	0.233300	5.165200	10.316300	2.410000	58.7097	1.3041
Zn2+	11.971900	2.994600	7.386200	0.203100	6.466800	7.082600	1.394000	18.0995	0.7807
Ga	15.235400	3.066900	6.700600	0.241200	4.359100	10.780500	2.962300	61.4135	1.7189
Ga3+	12.692000	2.812620	6.698830	0.227890	6.066920	6.364410	1.006600	14.4122	1.53545
Ge	16.081600	2.850900	6.374700	0.251600	3.706800	11.446800	3.683000	54.7625	2.1313
Ge4+	12.917200	2.537180	6.700030	0.205855	6.067910	5.479130	0.859041	11.603	1.45572
As	16.672300	2.634500	6.070100	0.264700	3.431300	12.947900	4.277900	47.7972	2.531
Se	17.000600	2.409800	5.819600	0.272600	3.973100	15.237200	4.354300	43.8163	2.8409
Br	17.178900	2.172300	5.235800	16.579600	5.637700	0.260900	3.985100	41.4328	2.9557
Br1-	17.171800	2.205900	6.333800	19.334500	5.575400	0.287100	3.727200	58.1535	3.1776
Kr	17.355500	1.938400	6.728600	16.562300	5.549300	0.226100	3.537500	39.3972	2.825
Rb	17.178400	1.788800	9.643500	17.315100	5.139900	0.274800	1.529200	164.934	3.4873
Rb1+	17.581600	1.713900	7.659800	14.795700	5.898100	0.160300	2.781700	31.2087	2.0782
Sr	17.566300	1.556400	9.818400	14.098800	5.422000	0.166400	2.669400	132.376	2.5064
Sr2+	18.087400	1.490700	8.137300	12.696300	2.565400	24.565100	-34.193000	-0.0138	41.4025
Y	17.776000	1.402900	10.294600	12.800600	5.726290	0.125599	3.265880	104.354	1.91213
Y3+	17.926800	1.354170	9.153100	11.214500	1.767950	22.659900	-33.108000	-0.01319	40.2602
Zr	17.876500	1.276180	10.948000	11.916000	5.417320	0.117622	3.657210	87.6627	2.06929
Zr4+	18.166800	1.214800	10.056200	10.148300	1.011180	21.605400	-2.647900	-0.10276	9.41454
Nb	17.614200	1.188650	12.014400	11.766000	4.041830	0.204785	3.533460	69.7957	3.75591
Nb3+	19.881200	0.019175	18.065300	1.133050	11.017700	10.162100	1.947150	28.3389	-12.912
Nb5+	17.916300	1.124460	13.341700	0.028781	10.799000	9.282060	0.337905	25.7228	-6.3934
Mo	3.702500	0.277200	17.235600	1.095800	12.887600	11.004000	3.742900	61.6584	4.3875
Mo3+	21.166400	0.014734	18.201700	1.030310	11.742300	9.536590	2.309510	26.6307	-14.421
Mo5+	21.014900	0.014345	18.099200	1.022380	11.463200	8.788090	0.740625	23.3452	-14.316
Mo6+	17.887100	1.036490	11.175000	8.480610	6.578910	0.058881	0.000000	0.	0.344941
Tc	19.130100	0.864132	11.094800	8.144870	4.649010	21.570700	2.712630	86.8472	5.40428
Ru	19.267400	0.808520	12.918200	8.434670	4.863370	24.799700	1.567560	94.2928	5.37874
Ru3+	18.563800	0.847329	13.288500	8.371640	9.326020	0.017662	3.009640	22.887	-3.1892
Ru4+	18.500300	0.844582	13.178700	8.125340	4.713040	0.364950	2.185350	20.8504	1.42357
Rh	19.295700	0.751536	14.350100	8.217580	4.734250	25.874900	1.289180	98.6062	5.328
Rh3+	18.878500	0.764252	14.125900	7.844380	3.325150	21.248700	-6.198900	-0.01036	11.8678
Rh4+	18.854500	0.760825	13.980600	7.624360	2.534640	19.331700	-5.652600	-0.0102	11.2835
Pd	19.331900	0.698655	15.501700	7.989290	5.295370	25.205200	0.605844	76.8986	5.26593
Pd2+	19.170100	0.696219	15.209600	7.555730	4.322340	22.505700	0.000000	0.	5.2916
Pd4+	19.249300	0.683839	14.790000	7.148330	2.892890	17.914400	-7.949200	0.005127	13.0174
Ag	19.280800	0.644600	16.688500	7.472600	4.804500	24.660500	1.046300	99.8156	5.179
Ag1+	19.181200	0.646179	15.971900	7.191230	5.274750	21.732600	0.357534	66.1147	5.21572
Ag2+	19.164300	0.645643	16.245600	7.185440	4.370900	21.407200	0.000000	0.	5.21404
Cd	19.221400	0.594600	17.644400	6.908900	4.461000	24.700800	1.602900	87.4825	5.0694
Cd2+	19.151400	0.597922	17.253500	6.806390	4.471280	20.252100	0.000000	0.	5.11937
In	19.162400	0.547600	18.559600	6.377600	4.294800	25.849900	2.039600	92.8029	4.9391
In3+	19.104500	0.551522	18.110800	6.324700	3.788970	17.359500	0.000000	0.	4.99635
Sn	19.188900	5.830300	19.100500	0.503100	4.458500	26.890900	2.466300	83.9571	4.7821
Sn2+	19.109400	0.503600	19.054800	5.837800	4.564800	23.375200	0.487000	62.2061	4.7861
Sn4+	18.933300	5.764000	19.713100	0.465500	3.418200	14.004900	0.019300	-0.7583	3.9182
Sb	19.641800	5.303400	19.045500	0.460700	5.037100	27.907400	2.682700	75.2825	4.5909
Sb3+	18.975500	0.467196	18.933000	5.221260	5.107890	19.590200	0.288753	55.5113	4.69626
Sb5+	19.868500	5.448530	19.030200	0.467973	2.412530	14.125900	0.000000	0.	4.69263
Te	19.964400	4.817420	19.013800	0.420885	6.144870	28.528400	2.523900	70.8403	4.352
I	20.147200	4.347000	18.994900	0.381400	7.513800	27.766000	2.273500	66.8776	4.0712
I1-	20.233200	4.357900	18.997000	0.381500	7.806900	29.525900	2.886800	84.9304	4.0714
Xe	20.293300	3.928200	19.029800	0.344000	8.976700	26.465900	1.990000	64.2658	3.7118
Cs	20.389200	3.569000	19.106200	0.310700	10.662000	24.387900	1.495300	213.904	3.3352
Cs1+	20.352400	3.552000	19.127800	0.308600	10.282100	23.712800	0.961500	59.4565	3.2791
Ba	20.336100	3.216000	19.297000	0.275600	10.888000	20.207300	2.695900	167.202	2.7731
Ba2+	20.180700	3.213670	19.113600	0.283310	10.905400	20.055800	0.776340	51.746	3.02902
La	20.578000	2.948170	19.599000	0.244475	11.372700	18.772600	3.287190	133.124	2.14678
La3+	20.248900	2.920700	19.376300	0.250698	11.632300	17.821100	0.336048	54.9453	2.4086
Ce	21.167100	2.812190	19.769500	0.226836	11.851300	17.608300	3.330490	127.113	1.86264
Ce3+	20.803600	2.776910	19.559000	0.231540	11.936900	16.540800	0.612376	43.1692	2.09013
Ce4+	20.323500	2.659410	19.818600	0.218850	12.123300	15.799200	0.144583	62.2355	1.5918
Pr	22.044000	2.773930	19.669700	0.222087	12.385600	16.766900	2.824280	143.644	2.0583
Pr3+	21.372700	2.645200	19.749100	0.214299	12.132900	15.323000	0.975180	36.4065	1.77132
Pr4+	20.941300	2.544670	20.053900	0.202481	12.466800	14.813700	0.296689	45.4643	1.24285
Nd	22.684500	2.662480	19.684700	0.210628	12.774000	15.885000	2.851370	137.903	1.98486
Nd3+	21.961000	2.527220	19.933900	0.199237	12.120000	14.178300	1.510310	30.8717	1.47588
Pm	23.340500	2.562700	19.609500	0.202088	13.123500	15.100900	2.875160	132.721	2.02876
Pm3+	22.552700	2.417400	20.110800	0.185769	12.067100	13.127500	2.074920	27.4491	1.19499
Sm	24.004200	2.472740	19.425800	0.196451	13.439600	14.399600	2.896040	128.007	2.20963
Sm3+	23.150400	2.316410	20.259900	0.174081	11.920200	12.157100	2.714880	24.8242	0.954586
Eu	24.627400	2.387900	19.088600	0.194200	13.760300	13.754600	2.922700	123.174	2.5745
Eu2+	24.006300	2.277830	19.950400	0.173530	11.803400	11.609600	3.872430	26.5156	1.36389
Eu3+	23.749700	2.222580	20.374500	0.163940	11.850900	11.311000	3.265030	22.9966	0.759344
Gd	25.070900	2.253410	19.079800	0.181951	13.851800	12.933100	3.545450	101.398	2.4196
Gd3+	24.346600	2.135530	20.420800	0.155525	11.870800	10.578200	3.714900	21.7029	0.645089
Tb	25.897600	2.242560	18.218500	0.196143	14.316700	12.664800	2.953540	115.362	3.58324
Tb3+	24.955900	2.056010	20.327100	0.149525	12.247100	10.049900	3.773000	21.2773	0.691967
Dy	26.507000	2.180200	17.638300	0.202172	14.559600	12.189900	2.965770	111.874	4.29728
Dy3+	25.539500	1.980400	20.286100	0.143384	11.981200	9.349720	4.500730	19.581	0.68969
Ho	26.904900	2.070510	17.294000	0.197940	14.558300	11.440700	3.638370	92.6566	4.56796
Ho3+	26.129600	1.910720	20.099400	0.139358	11.978800	8.800180	4.936760	18.5908	0.852795
Er	27.656300	2.073560	16.428500	0.223545	14.977900	11.360400	2.982330	105.703	5.92046
Er3+	26.722000	1.846590	19.774800	0.137290	12.150600	8.362250	5.173790	17.8974	1.17613
Tm	28.181900	2.028590	15.885100	0.238849	15.154200	10.997500	2.987060	102.961	6.75621
Tm3+	27.308300	1.787110	19.332000	0.136974	12.333900	7.967780	5.383480	17.2922	1.63929
Yb	28.664100	1.988900	15.434500	0.257119	15.308700	10.664700	2.989630	100.417	7.56672
Yb2+	28.120900	1.785030	17.681700	0.159970	13.333500	8.183040	5.146570	20.39	3.70983
